CodigoCliente;Titulo;PrimeiroNome;UltimoNome;Idade;Sexo;Endereco;Cidade;UFCompleto;CEP;Pais;PaisCompleto;Email;RendaMensal;PercentualUtilizacaoLimite;QtdTransacoesNegadas;AnosDeRelacionamentoBanco;JaUsouChequeEspecial;QtdEmprestimos;NumeroAtendimentos;TMA;IndiceSatisfacao;Saldo;CLTV;CanalPref;Churn;UF;mail_domain
1;Sra.;Fernanda;Camargo;32;Feminino;"Rua Paulo Suplicy; 376";São Paulo;São Paulo;54210-520;BR;Brazil;fecamargo@gmail.com;8000;0.92;5;3;0;1;7;2;4;55229;65;Push;0;SP;gmail.com
2;Sr.;Paulo;Dias;63;Masculino;Estrada Transcastanhal 456;Castanhal;Pará;68742-200;BR;Brazil;PauloPintoDias@gustr.com;4672;0.84;0;2;1;0;15;87;3;9936;66;Email;1;PA;gustr.com
3;Sr.;Enzo;Araujo;64;Masculino;Rua Joana D'Arc Gonçalves 576;Araxá;Minas Gerais;38180-228;BR;Brazil;EnzoDiasAraujo@einrot.com;9751;0.2;14;19;0;0;1;5;4;769;30;SMS;1;MG;einrot.com
4;Sr.;Martim;Souza;59;Masculino;Rua Paulo Suplicy 376;São Paulo;São Paulo;04637-010;BR;Brazil;MartimCastroSouza@superrito.com;7405;0.39;10;9;1;0;2;2;4;1246;76;Email;1;SP;superrito.com
5;Sr.;Gabriel;Barros;21;Masculino;Rua M 879;Valparaíso de Goiás;Goiás;72870-040;BR;Brazil;GabrielCastroBarros@fleckens.hu;5102;0.5;7;16;0;0;3;4;4;2732;90;Email;0;GO;fleckens.hu
6;Sr.;Eduardo;Sousa;48;Masculino;Rua Ceilão 1898;Paulista;Pernambuco;53425-040;BR;Brazil;EduardoGomesSousa@jourrapide.com;8462;1.0;4;19;0;0;45;75;3;6087;47;Push;1;PE;jourrapide.com
7;Sr.;Caio;Oliveira;65;Masculino;Rua Bananal do Rio 1016;São Paulo;São Paulo;05207-190;BR;Brazil;CaioRibeiroOliveira@cuvox.de;3023;0.44;10;8;0;4;3;0;5;9883;48;Email;0;SP;cuvox.de
8;Sr.;Douglas;Lima;35;Masculino;Rua Cajado de São José 925;Jaboatão dos Guararapes;Pernambuco;54360-640;BR;Brazil;DouglasSousaLima@superrito.com;8161;0.83;2;11;0;4;16;122;1;9076;67;SMS;1;PE;superrito.com
9;Sra.;Beatriz;Pinto;64;Feminino;Travessa Indigena 1720;Niterói;Rio de Janeiro;24060-039;BR;Brazil;BeatrizCardosoPinto@superrito.com;5709;0.05;0;11;1;5;2;2;5;5693;75;SMS;0;RJ;superrito.com
10;Sr.;Cauã;Sousa;33;Masculino;Rua Almeida Nicolau 269;Jaboatão dos Guararapes;Pernambuco;54210-520;BR;Brazil;CauaGomesSousa@jourrapide.com;5674;0.26;9;7;0;3;2;5;5;71857;83;Ligacao;0;PE;jourrapide.com
11;Sra.;Lara;Melo;36;Feminino;Rua das Hortências 1009;Araguari;Minas Gerais;38440-044;BR;Brazil;LaraLimaMelo@teleworm.us;8664;1.0;3;0;0;0;23;178;2;4637;90;Push;1;MG;teleworm.us
12;Sr.;Diego;Silva;28;Masculino;Rua Pavuna 1943;Ribeirão das Neves;Minas Gerais;33902-280;BR;Brazil;DiegoRochaSilva@fleckens.hu;6042;0.83;14;12;0;0;35;120;3;5897;84;Email;1;MG;fleckens.hu
